LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID197826,197826,1,217.456787109375,5.062411546340663,17.9702375606264,1.1148361294525204,1.946867469879518,5,0.15,1,,1424.3809523809523,1351.0,597.0,2421.0,29912.0,565.642420278967,0.2580833072214032,1.0331531319857912
ID197730,197730,1,207.96923828125,4.7945150147312585,17.566025692634568,1.4845631957673633,4.28310843373494,11,0.15,1,,1610.5238095238096,1498.0,737.0,2820.0,33821.0,613.5377428526805,0.3027216911000008,1.219966084914458
ID197633,197633,1,145.07342529296875,5.068082676391421,17.91258806238839,1.3233489397867704,0.0,0,0.15,1,,1108.5714285714287,1020.0,443.0,1801.0,23280.0,413.6849733104372,0.18643549521450636,0.8421867422739427
ID197713,197713,1,185.81268310546875,5.191741391613214,17.853978699069945,0.9651804180780686,0.3893734939759036,1,0.15,1,,1214.2857142857142,1126.0,210.0,2346.0,25500.0,595.9067999995589,0.18355554008424127,0.6320499399287538
ID197776,197776,1,233.20849609375,4.833505166838204,17.61305848240552,1.9651691514709473,3.5043614457831325,9,0.15,1,,1591.4285714285713,1393.0,398.0,2908.0,33420.0,783.6073998775518,0.2632104141152991,0.8463421862831222
ID197812,197812,1,328.8314208984375,4.906361526021508,17.601571297209155,1.5004956422729343,2.725614457831325,7,0.15,1,,1918.095238095238,1851.0,435.0,3673.0,40280.0,939.527695427969,0.2566098363724282,0.8338029375750445
ID197787,197787,1,157.83612060546875,5.018975369607167,17.829145623068353,0.5608873104724139,0.7787469879518072,2,0.15,1,,1505.5238095238096,1448.0,476.0,2553.0,31616.0,563.1054625065912,0.35858623838427245,1.4113485806023287
ID197690,197690,1,159.08502197265625,4.971855468750002,17.493565538194453,1.5,3.893734939759036,10,0.15,1,,1324.7142857142858,1388.0,643.0,2004.0,27819.0,371.0814119377502,0.21100917431192664,1.2440473769144194
ID197752,197752,1,179.58154296875,5.117392600981851,17.775827632952762,0.9933276375022246,1.1681204819277107,3,0.15,1,,1254.4761904761904,1181.0,325.0,2232.0,26344.0,585.7533285477446,0.28851759826267287,0.9590905400116471
ID197656,197656,1,197.0404052734375,5.001471759653335,17.690213697586664,1.5894118998936049,2.3362409638554213,6,0.15,1,,1274.952380952381,1335.0,231.0,2288.0,26774.0,585.9964570021287,0.12462484852176144,0.4821985923127181
ID197853,197853,1,162.81488037109375,4.776284214516479,17.582165654030934,2.084808025417276,3.1149879518072288,8,0.15,1,,1173.5714285714287,1263.0,293.0,1765.0,24645.0,393.65639476941965,0.2260279083650474,1.0992182305783293
ID198211,198211,5,125.43829345703125,0.9442104214520302,24.31835099630127,1.6378838231993549,10.9024578313253,28,0.15,1,,873.8571428571429,808.0,223.0,1643.0,18351.0,425.1302489489881,0.23693203647908118,0.7874561487898224
ID197761,197761,5,158.06158447265625,0.8942159506894266,24.31261104302447,2.7766333117938227,1.1681204819277107,3,0.15,1,,913.4285714285714,872.0,197.0,1804.0,19182.0,458.18888806130724,0.1579662244759361,0.5439116753109474
ID197889,197889,5,146.146728515625,0.76494999867495,24.265030747130055,2.137660752891536,7.398096385542169,19,0.15,1,,1001.7142857142857,1019.0,145.0,1896.0,21036.0,524.3060311361241,0.2844843377908041,0.8462887309398227
ID197831,197831,5,128.36187744140625,1.0768907485669563,24.38228349558341,2.41587965836811,1.946867469879518,5,0.15,1,,795.8095238095239,782.0,282.0,1374.0,16712.0,319.38168686504537,0.14162752967295705,0.6182332584266624
ID197957,197957,5,135.8267822265625,0.6260785393759959,24.485135046002274,2.987545052248207,5.840602409638554,15,0.15,1,,862.4761904761905,853.0,375.0,1275.0,18112.0,265.4909827183626,0.16056439107534184,0.8988916181035819
ID197641,197641,5,134.69464111328125,1.0202137956719575,24.287737310346152,2.9252195900665745,0.0,0,0.15,1,,968.3333333333334,880.0,320.0,2199.0,20335.0,536.5867435311213,0.3587056382776143,0.9528570773586806
ID198029,198029,5,223.741943359375,0.917798680369084,24.247386214208003,1.5244763327749669,8.56621686746988,22,0.15,1,,1402.0,1373.0,350.0,2910.0,29442.0,780.8374350657119,0.23040275818837172,0.6724465362335513
ID198413,198413,5,150.533935546875,0.9169433980359264,24.622054416544806,2.153591240886471,14.01744578313253,36,0.15,1,,1033.952380952381,838.0,482.0,2127.0,21713.0,471.18154422584047,0.26643705580943666,0.923322201991548
ID197779,197779,5,128.60601806640625,0.7176400240741013,24.413919638243964,3.381878590138058,3.5043614457831325,9,0.15,1,,883.1428571428571,841.0,165.0,1932.0,18546.0,486.84076305443915,0.2738118541565787,0.7798677871371531
ID197907,197907,5,124.79608154296875,0.5203935479671552,24.32185927914553,2.9409465527908196,6.2299759036144575,16,0.15,1,,906.6190476190476,858.0,496.0,1338.0,19039.0,269.0077092186163,0.2267910705023084,1.246078645398035
ID198289,198289,5,194.102294921875,1.0817820285332287,24.45654616338937,2.34364783086233,12.070578313253012,31,0.15,1,,1280.2380952380952,1341.0,289.0,2693.0,26885.0,660.1522479520845,0.3274511062504012,0.9567634220271073
ID198096,198096,5,177.50244140625,0.8097151896481539,24.228283379768868,1.5506666712974353,8.176843373493975,21,0.15,1,,1049.1904761904761,900.0,200.0,1964.0,22033.0,574.4546647950227,0.13437092946028184,0.4326919424539738
